ticker,event_date,setup_type,spike_return,vol_x_sma50
VST,2024-09-20,s03_catalyst_rerating,0.166,3.58
VST,2026-01-09,s03_catalyst_rerating,0.1047,3.07
WAB,2020-11-09,s03_catalyst_rerating,0.1224,3.78
DIS,2019-04-12,s03_catalyst_rerating,0.1154,4.85
DIS,2020-12-11,s03_catalyst_rerating,0.1359,7.48
WBD,2022-01-07,s03_catalyst_rerating,0.1687,5.71
WBD,2025-09-11,s03_catalyst_rerating,0.2895,4.52
WEC,2020-03-17,s03_catalyst_rerating,0.1055,3.03
WFC,2024-11-06,s03_catalyst_rerating,0.1311,3.34
WDC,2016-09-07,s03_catalyst_rerating,0.1209,3.66
WDC,2020-12-31,s03_catalyst_rerating,0.1183,3.35
WSM,2023-09-25,s03_catalyst_rerating,0.1162,4.62
WYNN,2022-09-26,s03_catalyst_rerating,0.1199,5.12
