ticker,event_date,setup_type,pct_of_52wk_high
XLY,2020-11-04,s04_sector_rebound_placebo,0.9669
XLY,2021-02-24,s04_sector_rebound_placebo,0.9623
XLY,2021-03-11,s04_sector_rebound_placebo,0.96
XLY,2021-03-30,s04_sector_rebound_placebo,0.9643
XLY,2021-05-27,s04_sector_rebound_placebo,0.9623
XLY,2021-06-22,s04_sector_rebound_placebo,0.9736
XLY,2021-08-23,s04_sector_rebound_placebo,0.9744
XLY,2021-09-22,s04_sector_rebound_placebo,0.9885
XLY,2021-10-07,s04_sector_rebound_placebo,0.987
XLY,2021-12-15,s04_sector_rebound_placebo,0.951
XLY,2023-08-30,s04_sector_rebound_placebo,0.9616
XLY,2024-01-29,s04_sector_rebound_placebo,0.9602
XLY,2024-04-08,s04_sector_rebound_placebo,0.9779
XLY,2024-04-29,s04_sector_rebound_placebo,0.975
XLY,2024-05-14,s04_sector_rebound_placebo,0.9678
XLY,2024-06-06,s04_sector_rebound_placebo,0.9663
XLY,2024-09-09,s04_sector_rebound_placebo,0.9505
XLY,2025-01-15,s04_sector_rebound_placebo,0.9511
XLY,2025-10-13,s04_sector_rebound_placebo,0.9673
XLY,2025-10-31,s04_sector_rebound_placebo,0.9925
XLY,2025-11-28,s04_sector_rebound_placebo,0.9764
XLY,2026-01-05,s04_sector_rebound_placebo,0.9813
XLY,2026-01-21,s04_sector_rebound_placebo,0.9749
XLY,2026-06-15,s04_sector_rebound_placebo,0.9541
