ticker,event_date,setup_type,reason,entry_date,entry_price,horizon,error,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy
GDDY,2024-06-24,s06_index_inclusion,Market capitalization change.[30],2024-06-25,138.97999572753906,60.0,,2024-09-19,160.13999938964844,0.15225215363793887,0.14925215363793887,False,0.14925215363793887,False,0.14925215363793887,0.04961475905419266,0.09963739458374621
GDDY,2024-06-24,s06_index_inclusion,Market capitalization change.[30],2024-06-25,138.97999572753906,90.0,,2024-10-31,166.8000030517578,0.20017274557093812,0.1971727455709381,False,0.1971727455709381,False,0.1971727455709381,0.048519615016982875,0.14865313055395524
VST,2024-05-08,s06_index_inclusion,S&P 500 and S&P 100 constituent ExxonMobil acquired Pioneer Natural Resources.[31],2024-05-09,88.24276944685816,30.0,,2024-06-24,87.15843963623047,-0.0122880301403131,-0.015288030140313099,False,-0.015288030140313099,False,-0.015288030140313099,0.05240040730424833,-0.06768843744456143
VST,2024-05-08,s06_index_inclusion,S&P 500 and S&P 100 constituent ExxonMobil acquired Pioneer Natural Resources.[31],2024-05-09,88.24276944685816,60.0,,2024-08-06,73.48651885986328,-0.1672233394247835,-0.17022333942478352,True,-0.10300000000000009,True,-0.09412466277736764,0.012475483792697473,-0.182698823217481
VST,2024-05-08,s06_index_inclusion,S&P 500 and S&P 100 constituent ExxonMobil acquired Pioneer Natural Resources.[31],2024-05-09,88.24276944685816,90.0,,2024-09-18,90.08248138427734,0.020848302347617365,0.017848302347617365,True,-0.10300000000000009,True,-0.09412466277736764,0.08858318701277179,-0.07073488466515443
GEV,2024-04-02,s06_index_inclusion,S&P 500 and 100 constituent General Electric Corp. spun off GE Vernova.[32],2024-04-03,141.7012047102501,30.0,,2024-05-15,167.16358947753906,0.17969067249184167,0.17669067249184167,True,-0.10299999999999998,False,0.17669067249184167,0.02329473150105965,0.15339594099078202
GEV,2024-04-02,s06_index_inclusion,S&P 500 and 100 constituent General Electric Corp. spun off GE Vernova.[32],2024-04-03,141.7012047102501,60.0,,2024-06-28,170.78826904296875,0.20527040960728415,0.20227040960728415,True,-0.10299999999999998,False,0.20227040960728415,0.054577198526388315,0.14769321108089584
GEV,2024-04-02,s06_index_inclusion,S&P 500 and 100 constituent General Electric Corp. spun off GE Vernova.[32],2024-04-03,141.7012047102501,90.0,,2024-08-12,175.69752502441406,0.2399155348303459,0.2369155348303459,True,-0.10299999999999998,False,0.2369155348303459,0.033358881976256693,0.2035566528540892
SOLV,2024-04-01,s06_index_inclusion,S&P 500 and 100 constituent 3M Co. spun off Solventum.[32],2024-04-02,67.66999816894531,30.0,,2024-05-14,65.0999984741211,-0.03797842122602013,-0.040978421226020134,True,-0.10299999999999998,False,-0.040978421226020134,0.009763800100226261,-0.050742221326246395
SOLV,2024-04-01,s06_index_inclusion,S&P 500 and 100 constituent 3M Co. spun off Solventum.[32],2024-04-02,67.66999816894531,60.0,,2024-06-27,51.33000183105469,-0.241465890055089,-0.244465890055089,True,-0.10299999999999998,False,-0.244465890055089,0.057681252599566024,-0.30214714265465503
